"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","11","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.TopUpTests","tests.deposits.TopUpTests","createTopUpWithNegativeAmount_ShouldFail","createTopUpWithNegativeAmount_ShouldFail",""
"failed","Fri Aug 08 18:13:06 GMT 2025","Fri Aug 08 18:13:06 GMT 2025","182","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","createInvalidCrowdDepositOffer_ShouldFail","createInvalidCrowdDepositOffer_ShouldFail",""
"passed","Fri Aug 08 18:13:08 GMT 2025","Fri Aug 08 18:13:11 GMT 2025","3027","BankingApp_Test_Suite","Mock_Tests","tests.mocks.external.PaymentMockTest","tests.mocks.external.PaymentMockTest","testTopUp_ServerDelay_HandledWithinTimeout","testTopUp_ServerDelay_HandledWithinTimeout",""
"passed","Fri Aug 08 18:13:01 GMT 2025","Fri Aug 08 18:13:04 GMT 2025","2849","BankingApp_Test_Suite","Authentication_Tests","tests.auth.RegistrationTests","tests.auth.RegistrationTests","testRegisterWithExistingEmail_ShouldFail","testRegisterWithExistingEmail_ShouldFail",""
"passed","Fri Aug 08 18:13:05 GMT 2025","Fri Aug 08 18:13:05 GMT 2025","28","BankingApp_Test_Suite","Authentication_Tests","tests.auth.LoginTests","tests.auth.LoginTests","loginWithEmptyPassword_ShouldFail","loginWithEmptyPassword_ShouldFail",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","40","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.CrowdDepositTests","tests.deposits.CrowdDepositTests","enrollWithInsufficientBalance_ShouldFail","enrollWithInsufficientBalance_ShouldFail",""
"failed","Fri Aug 08 18:13:06 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","182","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","createOffer_WithExtremeApy_ShouldFail","createOffer_WithExtremeApy_ShouldFail",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","25","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.TimeDepositTests","tests.deposits.TimeDepositTests","createDepositWithZeroDuration_ShouldFail","createDepositWithZeroDuration_ShouldFail",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","195","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","adminCanDeleteDepositOffer","adminCanDeleteDepositOffer",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","26","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.TimeDepositTests","tests.deposits.TimeDepositTests","createValidDeposit_ShouldSucceed","createValidDeposit_ShouldSucceed",""
"failed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","61","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.CrowdDepositTests","tests.deposits.CrowdDepositTests","enrollWithInvalidAmount_ShouldFail","enrollWithInvalidAmount_ShouldFail",""
"passed","Fri Aug 08 18:13:04 GMT 2025","Fri Aug 08 18:13:04 GMT 2025","565","BankingApp_Test_Suite","Authentication_Tests","tests.auth.RegistrationTests","tests.auth.RegistrationTests","testRegisterWithMissingFirstName_ShouldFail","testRegisterWithMissingFirstName_ShouldFail",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","24","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.TopUpTests","tests.deposits.TopUpTests","createValidTopUp_ShouldSucceed","createValidTopUp_ShouldSucceed",""
"failed","Fri Aug 08 18:13:06 GMT 2025","Fri Aug 08 18:13:06 GMT 2025","207","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","createOffer_Unauthorized_ShouldFail","createOffer_Unauthorized_ShouldFail",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","27","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.TopUpTests","tests.deposits.TopUpTests","getTopUps","getTopUps",""
"passed","Fri Aug 08 18:13:04 GMT 2025","Fri Aug 08 18:13:05 GMT 2025","354","BankingApp_Test_Suite","Authentication_Tests","tests.auth.RegistrationTests","tests.auth.RegistrationTests","testSuccessfulRegistration","testSuccessfulRegistration",""
"passed","Fri Aug 08 18:13:05 GMT 2025","Fri Aug 08 18:13:05 GMT 2025","198","BankingApp_Test_Suite","Authentication_Tests","tests.auth.LoginTests","tests.auth.LoginTests","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Fri Aug 08 18:13:04 GMT 2025","Fri Aug 08 18:13:04 GMT 2025","29","BankingApp_Test_Suite","Authentication_Tests","tests.auth.RegistrationTests","tests.auth.RegistrationTests","testRegisterWithShortPassword_ShouldFail","testRegisterWithShortPassword_ShouldFail",""
"passed","Fri Aug 08 18:13:11 GMT 2025","Fri Aug 08 18:13:11 GMT 2025","6","BankingApp_Test_Suite","Mock_Tests","tests.mocks.external.PaymentMockTest","tests.mocks.external.PaymentMockTest","testTopUp_ServerError_ShouldReturn500","testTopUp_ServerError_ShouldReturn500",""
"passed","Fri Aug 08 18:13:05 GMT 2025","Fri Aug 08 18:13:05 GMT 2025","165","BankingApp_Test_Suite","Authentication_Tests","tests.auth.LoginTests","tests.auth.LoginTests","loginWithWrongPassword_ShouldFail","loginWithWrongPassword_ShouldFail",""
"passed","Fri Aug 08 18:13:08 GMT 2025","Fri Aug 08 18:13:08 GMT 2025","28","BankingApp_Test_Suite","Mock_Tests","tests.mocks.external.PaymentMockTest","tests.mocks.external.PaymentMockTest","testTopUp_InvalidAmount_ShouldReturn400","testTopUp_InvalidAmount_ShouldReturn400",""
"failed","Fri Aug 08 18:13:05 GMT 2025","Fri Aug 08 18:13:06 GMT 2025","35","BankingApp_Test_Suite","Authentication_Tests","tests.auth.ProfileUpdateTests","tests.auth.ProfileUpdateTests","testSuccessfulProfileUpdate","testSuccessfulProfileUpdate",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","40","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.TimeDepositTests","tests.deposits.TimeDepositTests","createDepositWithNegativeAmount_ShouldFail","createDepositWithNegativeAmount_ShouldFail",""
"passed","Fri Aug 08 18:13:06 GMT 2025","Fri Aug 08 18:13:06 GMT 2025","249","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","adminCanCreateDepositOffer","adminCanCreateDepositOffer",""
"passed","Fri Aug 08 18:13:11 GMT 2025","Fri Aug 08 18:13:11 GMT 2025","12","BankingApp_Test_Suite","Mock_Tests","tests.mocks.external.PaymentMockTest","tests.mocks.external.PaymentMockTest","testTopUp_Success","testTopUp_Success",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","211","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","adminCanUpdateDepositOffer","adminCanUpdateDepositOffer",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","56","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.CrowdDepositTests","tests.deposits.CrowdDepositTests","getAllDeposits_ShouldReturnValidData","getAllDeposits_ShouldReturnValidData",""
"passed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","15","BankingApp_Test_Suite","Deposit_Tests","tests.deposits.CrowdDepositTests","tests.deposits.CrowdDepositTests","userCanEnrollInCrowdDeposit","userCanEnrollInCrowdDeposit",""
"failed","Fri Aug 08 18:13:07 GMT 2025","Fri Aug 08 18:13:07 GMT 2025","85","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","adminCanGetDepositOffer","adminCanGetDepositOffer",""
"failed","Fri Aug 08 18:13:06 GMT 2025","Fri Aug 08 18:13:06 GMT 2025","185","BankingApp_Test_Suite","Admin_Tests","tests.admin.AdminDepositTests","tests.admin.AdminDepositTests","createOffer_WithPastStartDate_ShouldFail","createOffer_WithPastStartDate_ShouldFail",""
"passed","Fri Aug 08 18:13:05 GMT 2025","Fri Aug 08 18:13:05 GMT 2025","312","BankingApp_Test_Suite","Authentication_Tests","tests.auth.RegistrationTests","tests.auth.RegistrationTests","testSuccessfulRegistrationWithUserAccount","testSuccessfulRegistrationWithUserAccount",""
